lsgi_code_ward_number,lsgi_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year,mayor/deputymayor/Councillor
C07003_1,C07003,Kochi,1,Fort Kochi,Shiny Mathew,Ernakulam,Municipal Corporation,INC,UDF,2071,2025,Councillor
C07003_2,C07003,Kochi,2,Kalvathy,Fousia Mohammed,Ernakulam,Municipal Corporation,IUML,UDF,2364,2025,Councillor
C07003_3,C07003,Kochi,3,Earavely,Raheena (Raheena Rafeeq),Ernakulam,Municipal Corporation,INC,UDF,2538,2025,Councillor
C07003_4,C07003,Kochi,4,Karippalam,Manaf KA,Ernakulam,Municipal Corporation,INC,UDF,2232,2025,Councillor
C07003_5,C07003,Kochi,5,Cheralayi,Praveetha Vijayakumar,Ernakulam,Municipal Corporation,BJP,NDA,2639,2025,Councillor
C07003_6,C07003,Kochi,6,Mattanchery,Sheeja Navas,Ernakulam,Municipal Corporation,IUML,UDF,2704,2025,Councillor
C07003_7,C07003,Kochi,7,Chakkamadam,Suhana Subair,Ernakulam,Municipal Corporation,CPI(M),LDF,1863,2025,Councillor
C07003_8,C07003,Kochi,8,Karuvelippady,Kavitha Harikumar,Ernakulam,Municipal Corporation,INC,UDF,1290,2025,Councillor
C07003_9,C07003,Kochi,9,Island North,Padmakumari T,Ernakulam,Municipal Corporation,BJP,NDA,223,2025,Councillor
C07003_10,C07003,Kochi,10,Ravipuram,S. Sasikala,Ernakulam,Municipal Corporation,IND,OTH,847,2025,Councillor
C07003_11,C07003,Kochi,11,Ernakulam South,K V P Krishnakumar,Ernakulam,Municipal Corporation,INC,UDF,1179,2025,Councillor
C07003_12,C07003,Kochi,12,Gandhi Nagar,Nirmala Teacher,Ernakulam,Municipal Corporation,INC,UDF,1518,2025,Councillor
C07003_13,C07003,Kochi,13,Kathrikadavu,Riya Lawrance,Ernakulam,Municipal Corporation,INC,UDF,2253,2025,Councillor
C07003_14,C07003,Kochi,14,Ernakulam Central,Sudha  Dileepkumar,Ernakulam,Municipal Corporation,BJP,NDA,1289,2025,Councillor
C07003_15,C07003,Kochi,15,Ernakulam North,Augustine Sebastine P M,Ernakulam,Municipal Corporation,INC,UDF,1394,2025,Councillor
C07003_16,C07003,Kochi,16,Kaloor South,Aristtottil. M. G,Ernakulam,Municipal Corporation,INC,UDF,1686,2025,Councillor
C07003_17,C07003,Kochi,17,Kaloor-North,Asharaf.T.K (Sharafu),Ernakulam,Municipal Corporation,IUML,UDF,1437,2025,Councillor
C07003_18,C07003,Kochi,18,Thrikkanarvattom,Jalaja S Acharya,Ernakulam,Municipal Corporation,BJP,NDA,785,2025,Councillor
C07003_19,C07003,Kochi,19,Ayyappankavu,Deepak Joy,Ernakulam,Municipal Corporation,INC,UDF,1970,2025,Deputy Mayor
C07003_20,C07003,Kochi,20,Pottakuzhy,Brijith Ashwin,Ernakulam,Municipal Corporation,CPI,LDF,1332,2025,Councillor
C07003_21,C07003,Kochi,21,Elamakkara South,V.R.Sudheer,Ernakulam,Municipal Corporation,INC,UDF,2449,2025,Councillor
C07003_22,C07003,Kochi,22,Pachalam,Albert Ambalathinkal,Ernakulam,Municipal Corporation,INC,UDF,2581,2025,Councillor
C07003_23,C07003,Kochi,23,Thattazham,Siby John,Ernakulam,Municipal Corporation,INC,UDF,1360,2025,Councillor
C07003_24,C07003,Kochi,24,Vaduthala West,Jismi Jerald,Ernakulam,Municipal Corporation,INC,UDF,2447,2025,Councillor
C07003_25,C07003,Kochi,25,Vaduthala East,Henry Austin,Ernakulam,Municipal Corporation,INC,UDF,2323,2025,Councillor
C07003_26,C07003,Kochi,26,Elamakkara North,Beena Mahesh,Ernakulam,Municipal Corporation,CPI(M),LDF,1718,2025,Councillor
C07003_27,C07003,Kochi,27,Puthukkalavattam,Seena Teacher,Ernakulam,Municipal Corporation,INC,UDF,1886,2025,Councillor
C07003_28,C07003,Kochi,28,Kunnumpuram,Jagadambika,Ernakulam,Municipal Corporation,CPI(M),LDF,2190,2025,Councillor
C07003_29,C07003,Kochi,29,Ponekkara,Nimmy Mariyam,Ernakulam,Municipal Corporation,INC,UDF,1184,2025,Councillor
C07003_30,C07003,Kochi,30,Edappally,Abdul Latheef,Ernakulam,Municipal Corporation,INC,UDF,1961,2025,Councillor
C07003_31,C07003,Kochi,31,Changampuzha,Sini Anand,Ernakulam,Municipal Corporation,INC,UDF,1223,2025,Councillor
C07003_32,C07003,Kochi,32,Dhevankulangara,Vijayakumar,Ernakulam,Municipal Corporation,INC,UDF,1559,2025,Councillor
C07003_33,C07003,Kochi,33,Palarivattam,Minimol V K,Ernakulam,Municipal Corporation,INC,UDF,1389,2025,Mayor
C07003_34,C07003,Kochi,34,Stadium,Deepthi Mary Varghese,Ernakulam,Municipal Corporation,INC,UDF,2117,2025,Councillor
C07003_35,C07003,Kochi,35,Karanakkodam,Geli Robert,Ernakulam,Municipal Corporation,INC,UDF,1281,2025,Councillor
C07003_36,C07003,Kochi,36,Puthiyaroad,Molly Charly,Ernakulam,Municipal Corporation,INC,UDF,1845,2025,Councillor
C07003_37,C07003,Kochi,37,Padivattam,Shiby Soman,Ernakulam,Municipal Corporation,INC,UDF,2020,2025,Councillor
C07003_38,C07003,Kochi,38,Vennala,Sabu Koroth,Ernakulam,Municipal Corporation,INC,UDF,1579,2025,Councillor
C07003_39,C07003,Kochi,39,Chakkaraparambu,P M Naseema,Ernakulam,Municipal Corporation,INC,UDF,1791,2025,Councillor
C07003_40,C07003,Kochi,40,Chalikkavattam,Bindhu Viju,Ernakulam,Municipal Corporation,INC,UDF,2095,2025,Councillor
C07003_41,C07003,Kochi,41,Thammanam,Divya Rajesh,Ernakulam,Municipal Corporation,INC,UDF,2045,2025,Councillor
C07003_42,C07003,Kochi,42,Elamkulam,Nisha P D,Ernakulam,Municipal Corporation,INC,UDF,1921,2025,Councillor
C07003_43,C07003,Kochi,43,Girinagar,Martin,Ernakulam,Municipal Corporation,INC,UDF,1424,2025,Councillor
C07003_44,C07003,Kochi,44,Ponnurunni,M X Sebastian,Ernakulam,Municipal Corporation,INC,UDF,1949,2025,Councillor
C07003_45,C07003,Kochi,45,Ponnurunni East,Beena Divakaran,Ernakulam,Municipal Corporation,CPI(M),LDF,1327,2025,Councillor
C07003_46,C07003,Kochi,46,Vyttila,V P Chandran,Ernakulam,Municipal Corporation,IND,OTH,1587,2025,Councillor
C07003_47,C07003,Kochi,47,Poonithura,Xavier P Antony,Ernakulam,Municipal Corporation,INC,UDF,1442,2025,Councillor
C07003_48,C07003,Kochi,48,Vyttila Janatha,Anu K Thankachan,Ernakulam,Municipal Corporation,INC,UDF,2028,2025,Councillor
C07003_49,C07003,Kochi,49,Kadavanthra,Jisan George,Ernakulam,Municipal Corporation,KC,UDF,1950,2025,Councillor
C07003_50,C07003,Kochi,50,Panampilli Nagar,Antony Painoothara,Ernakulam,Municipal Corporation,INC,UDF,1948,2025,Councillor
C07003_51,C07003,Kochi,51,Perumanoor,K X Francis,Ernakulam,Municipal Corporation,INC,UDF,1889,2025,Councillor
C07003_52,C07003,Kochi,52,Konthuruthy,Abhishek K S,Ernakulam,Municipal Corporation,INC,UDF,1716,2025,Councillor
C07003_53,C07003,Kochi,53,Thevara,Elizabath Teacher,Ernakulam,Municipal Corporation,CPI(M),LDF,975,2025,Councillor
C07003_54,C07003,Kochi,54,Island South,Shakritha,Ernakulam,Municipal Corporation,INC,UDF,500,2025,Councillor
C07003_55,C07003,Kochi,55,Kadebhagam,Aswathy Joshy,Ernakulam,Municipal Corporation,CPI(M),LDF,2548,2025,Councillor
C07003_56,C07003,Kochi,56,Palluruthy East,N P Santhini,Ernakulam,Municipal Corporation,CPI(M),LDF,1339,2025,Councillor
C07003_57,C07003,Kochi,57,Thazhuppu,Sujatha Sabu,Ernakulam,Municipal Corporation,CPI(M),LDF,2678,2025,Councillor
C07003_58,C07003,Kochi,58,Eadakochi North,K J Baisil,Ernakulam,Municipal Corporation,CON(S),LDF,2198,2025,Councillor
C07003_59,C07003,Kochi,59,Edakochi South,Lasitha Peter,Ernakulam,Municipal Corporation,INC,UDF,1307,2025,Councillor
C07003_60,C07003,Kochi,60,Perumbadappu,Likhitha N.X.,Ernakulam,Municipal Corporation,CPI,LDF,1201,2025,Councillor
C07003_61,C07003,Kochi,61,Konam,C R Biju,Ernakulam,Municipal Corporation,CPI(M),LDF,1665,2025,Councillor
C07003_62,C07003,Kochi,62,Palluruthy-Kacheripady,V A Sreejith,Ernakulam,Municipal Corporation,CPI(M),LDF,2438,2025,Councillor
C07003_63,C07003,Kochi,63,Nambyapuram,Rashida Hussain,Ernakulam,Municipal Corporation,CPI(M),LDF,1409,2025,Councillor
C07003_64,C07003,Kochi,64,Palluruthy,Geetha Prabhakaran,Ernakulam,Municipal Corporation,INC,UDF,1561,2025,Councillor
C07003_65,C07003,Kochi,65,Pullardesam,Hema Teacher,Ernakulam,Municipal Corporation,CPI(M),LDF,1993,2025,Councillor
C07003_66,C07003,Kochi,66,Tharebhagam,Lavitha Nelson,Ernakulam,Municipal Corporation,CPI(M),LDF,1427,2025,Councillor
C07003_67,C07003,Kochi,67,Thoppumpady,Joseph  Sumeeth,Ernakulam,Municipal Corporation,INC,UDF,2175,2025,Councillor
C07003_68,C07003,Kochi,68,Mundamvely East,K J Prakashan,Ernakulam,Municipal Corporation,IND,OTH,383,2025,Councillor
C07003_69,C07003,Kochi,69,Mundamvely,Lisy Sumi,Ernakulam,Municipal Corporation,INC,UDF,1842,2025,Councillor
C07003_70,C07003,Kochi,70,Manassery,Nisha Joseph,Ernakulam,Municipal Corporation,CPI(M),LDF,1509,2025,Councillor
C07003_71,C07003,Kochi,71,Moolamkuzhy,Joseph Fernandez,Ernakulam,Municipal Corporation,CPI(M),LDF,1276,2025,Councillor
C07003_72,C07003,Kochi,72,Chullickal,Bastine Babu,Ernakulam,Municipal Corporation,IND,OTH,1405,2025,Councillor
C07003_73,C07003,Kochi,73,Nasrathu,Yesudas (P J Dasan),Ernakulam,Municipal Corporation,CPI(M),LDF,1738,2025,Councillor
C07003_74,C07003,Kochi,74,Panayappilly,Aswathy Gireesh,Ernakulam,Municipal Corporation,BJP,NDA,1202,2025,Councillor
C07003_75,C07003,Kochi,75,Amaravathy,Adv. Priya Prasanth,Ernakulam,Municipal Corporation,BJP,NDA,2097,2025,Councillor
C07003_76,C07003,Kochi,76,Fortkochi Veli,Manjula Anil Kumar,Ernakulam,Municipal Corporation,CPI(M),LDF,1722,2025,Councillor
C13006_1,C13006,Kannur,1,Palliyammoola,Deepa P,Kannur,Municipal Corporation,INC,UDF,1048,2025,Councillor
C13006_2,C13006,Kannur,2,Kunnavu,K Seetha,Kannur,Municipal Corporation,CPI(M),LDF,722,2025,Councillor
C13006_3,C13006,Kannur,3,Kokkenpara,P Mahesh,Kannur,Municipal Corporation,BJP,NDA,907,2025,Councillor
C13006_4,C13006,Kannur,4,Pallikkunnu,Deepthi Vinod,Kannur,Municipal Corporation,BJP,NDA,654,2025,Councillor
C13006_5,C13006,Kannur,5,Thalappu,T P Jamal,Kannur,Municipal Corporation,IUML,UDF,900,2025,Councillor
C13006_6,C13006,Kannur,6,Udayamkunnu,Anoop Balan,Kannur,Municipal Corporation,INC,UDF,924,2025,Councillor
C13006_7,C13006,Kannur,7,Podikundu,V  Purushothaman,Kannur,Municipal Corporation,CPI(M),LDF,1394,2025,Councillor
C13006_8,C13006,Kannur,8,Kottali,Ushakumari K,Kannur,Municipal Corporation,INC,UDF,783,2025,Councillor
C13006_9,C13006,Kannur,9,Athazhakunnu,Sreeja K,Kannur,Municipal Corporation,INC,UDF,1908,2025,Councillor
C13006_10,C13006,Kannur,10,Kakkadu,Shabeer Kunhippally,Kannur,Municipal Corporation,IUML,UDF,1709,2025,Councillor
C13006_11,C13006,Kannur,11,Thulicheri,Majesh A K,Kannur,Municipal Corporation,BJP,NDA,939,2025,Councillor
C13006_12,C13006,Kannur,12,Kakkadu North,Zubair Kichiri,Kannur,Municipal Corporation,IUML,UDF,1125,2025,Councillor
C13006_13,C13006,Kannur,13,Shadhulipalli,Muhammedali V K,Kannur,Municipal Corporation,IUML,UDF,1566,2025,Councillor
C13006_14,C13006,Kannur,14,Pallipram,Arshad A,Kannur,Municipal Corporation,IUML,UDF,1919,2025,Councillor
C13006_15,C13006,Kannur,15,Varam,K P Thahir,Kannur,Municipal Corporation,IUML,UDF,1120,2025,Deputy Mayor
C13006_16,C13006,Kannur,16,Valiyannoor,K  Suma,Kannur,Municipal Corporation,INC,UDF,1701,2025,Councillor
C13006_17,C13006,Kannur,17,Chelora,K  Saraswathi Teacher,Kannur,Municipal Corporation,CPI(M),LDF,1457,2025,Councillor
C13006_18,C13006,Kannur,18,Macheri,A  Prameela,Kannur,Municipal Corporation,INC,UDF,1528,2025,Councillor
C13006_19,C13006,Kannur,19,Pallipoyil,M  Rafeeq,Kannur,Municipal Corporation,INC,UDF,1414,2025,Councillor
C13006_20,C13006,Kannur,20,Kappadu,C C Gangadharan,Kannur,Municipal Corporation,CPI(M),LDF,1610,2025,Councillor
C13006_21,C13006,Kannur,21,Elayavoor North,Bismillabeevi,Kannur,Municipal Corporation,IUML,UDF,1526,2025,Councillor
C13006_22,C13006,Kannur,22,Elayavoor South,Vijina K K,Kannur,Municipal Corporation,CPI(M),LDF,1180,2025,Councillor
C13006_23,C13006,Kannur,23,Mundayadu,Sreeja Madathil,Kannur,Municipal Corporation,INC,UDF,767,2025,Councillor
C13006_24,C13006,Kannur,24,Edachovva,T Pradeep,Kannur,Municipal Corporation,INC,UDF,1206,2025,Councillor
C13006_25,C13006,Kannur,25,Athirakam,K T Murshid,Kannur,Municipal Corporation,IUML,UDF,1777,2025,Councillor
C13006_26,C13006,Kannur,26,Kappicheri,Nijesh O V,Kannur,Municipal Corporation,CPI(M),LDF,1167,2025,Councillor
C13006_27,C13006,Kannur,27,Mele Chovva,Dr.  K  C Valsala,Kannur,Municipal Corporation,CPI(M),LDF,703,2025,Councillor
C13006_28,C13006,Kannur,28,Thazhe Chovva,E Sunila,Kannur,Municipal Corporation,CPI(M),LDF,1192,2025,Councillor
C13006_29,C13006,Kannur,29,Kizhuthalli,Seena K.P.,Kannur,Municipal Corporation,INC,UDF,1266,2025,Councillor
C13006_30,C13006,Kannur,30,Thilanoor,V.K. Prakasini,Kannur,Municipal Corporation,CPI(M),LDF,1323,2025,Councillor
C13006_31,C13006,Kannur,31,Attadappa,M.Priya,Kannur,Municipal Corporation,CPI(M),LDF,1592,2025,Councillor
C13006_32,C13006,Kannur,32,Chala,P. K. Preetha,Kannur,Municipal Corporation,INC,UDF,1091,2025,Councillor
C13006_33,C13006,Kannur,33,Edakkadu,Prasand T.,Kannur,Municipal Corporation,CPI(M),LDF,1384,2025,Councillor
C13006_34,C13006,Kannur,34,Ezhara,Faslim T.P.,Kannur,Municipal Corporation,IUML,UDF,1636,2025,Councillor
C13006_35,C13006,Kannur,35,Alinkeel,Adv: Sona Jayaram,Kannur,Municipal Corporation,INC,UDF,1226,2025,Councillor
C13006_36,C13006,Kannur,36,Keezhunna,Sruthi K.P.,Kannur,Municipal Corporation,INC,UDF,1081,2025,Councillor
C13006_37,C13006,Kannur,37,Thottada,Sunila P.,Kannur,Municipal Corporation,CPI(M),LDF,1207,2025,Councillor
C13006_38,C13006,Kannur,38,Adikadalai,Rijil Chandran Makkutty,Kannur,Municipal Corporation,INC,UDF,1413,2025,Councillor
C13006_39,C13006,Kannur,39,Kanhira,Manjusha P.,Kannur,Municipal Corporation,CPI(M),LDF,964,2025,Councillor
C13006_40,C13006,Kannur,40,Kuruva,A. Mithran,Kannur,Municipal Corporation,INC,UDF,1386,2025,Councillor
C13006_41,C13006,Kannur,41,Padanna,Shameema Teacher,Kannur,Municipal Corporation,IUML,UDF,1642,2025,Councillor
C13006_42,C13006,Kannur,42,Vethilapalli,Muhammed Shibil K.K.,Kannur,Municipal Corporation,INC,UDF,1589,2025,Councillor
C13006_43,C13006,Kannur,43,Neerchal,Nisamy C.,Kannur,Municipal Corporation,IUML,UDF,1525,2025,Councillor
C13006_44,C13006,Kannur,44,Arakkal,Sameera K.,Kannur,Municipal Corporation,SDPI,OTH,1643,2025,Councillor
C13006_45,C13006,Kannur,45,Chovva,M.P.  Anilkumar,Kannur,Municipal Corporation,CPI(M),LDF,929,2025,Councillor
C13006_46,C13006,Kannur,46,Thana,Risham  Thana,Kannur,Municipal Corporation,IUML,UDF,1245,2025,Councillor
C13006_47,C13006,Kannur,47,South Bazaar,E.Beena,Kannur,Municipal Corporation,CPI(M),LDF,682,2025,Councillor
C13006_48,C13006,Kannur,48,Temple,Adv. Archana Vandichal,Kannur,Municipal Corporation,BJP,NDA,928,2025,Councillor
C13006_49,C13006,Kannur,49,Thayatheru,Adv. Lisha Deepak,Kannur,Municipal Corporation,INC,UDF,624,2025,Councillor
C13006_50,C13006,Kannur,50,Kasanakotta,Sahad Mankadavan,Kannur,Municipal Corporation,IUML,UDF,864,2025,Councillor
C13006_51,C13006,Kannur,51,Ayikkara,Sirajudheen  Mangadan,Kannur,Municipal Corporation,IUML,UDF,1207,2025,Councillor
C13006_52,C13006,Kannur,52,Kanathoor,Reshma  Vinod,Kannur,Municipal Corporation,INC,UDF,592,2025,Councillor
C13006_53,C13006,Kannur,53,Payyambalam,Adv. P. Indira,Kannur,Municipal Corporation,INC,UDF,345,2025,Mayor
C13006_54,C13006,Kannur,54,Thalikkavu,Ajith Parakkandy,Kannur,Municipal Corporation,INC,UDF,814,2025,Councillor
C13006_55,C13006,Kannur,55,Chalad,Rafna C. V.,Kannur,Municipal Corporation,IUML,UDF,1459,2025,Councillor
C13006_56,C13006,Kannur,56,Panjikkayil,Umesan Kaniyankandi,Kannur,Municipal Corporation,INC,UDF,1099,2025,Councillor
C02002_1,C02002,Kollam,1,Sakthikulangara Harbour,Xavier Mathias,Kollam,Municipal Corporation,INC,UDF,1880,2025,Councillor
C02002_2,C02002,Kollam,2,Sakthikulangara,Shiji,Kollam,Municipal Corporation,BJP,NDA,1385,2025,Councillor
C02002_3,C02002,Kollam,3,Meenathuchery,Deepu Gangandharan B,Kollam,Municipal Corporation,RSP,UDF,2166,2025,Councillor
C02002_4,C02002,Kollam,4,Kavanad,Radhika Saji,Kollam,Municipal Corporation,INC,UDF,1732,2025,Councillor
C02002_5,C02002,Kollam,5,Vallikeezhu,Vidya Manoj,Kollam,Municipal Corporation,CPI(M),LDF,1459,2025,Councillor
C02002_6,C02002,Kollam,6,Kureepuzha West,A M Mustafa,Kollam,Municipal Corporation,CPI(M),LDF,2291,2025,Councillor
C02002_7,C02002,Kollam,7,Kureepuzha,B Ajithkumar,Kollam,Municipal Corporation,INC,UDF,2284,2025,Councillor
C02002_8,C02002,Kollam,8,Neeravil,Mahesh.R,Kollam,Municipal Corporation,CPI(M),LDF,1751,2025,Councillor
C02002_9,C02002,Kollam,9,Anchalummoodu West,Reeja Sugunan,Kollam,Municipal Corporation,INC,UDF,1718,2025,Councillor
C02002_10,C02002,Kollam,10,Anchalummoodu East,Adv. M. S. Gopakumar,Kollam,Municipal Corporation,RSP,UDF,2357,2025,Councillor
C02002_11,C02002,Kollam,11,Kadavoor,Dhanya Raju,Kollam,Municipal Corporation,INC,UDF,1357,2025,Councillor
C02002_12,C02002,Kollam,12,Mathilil,B Prasanth,Kollam,Municipal Corporation,CPI(M),LDF,1614,2025,Councillor
C02002_13,C02002,Kollam,13,Thevally,B Shylaja,Kollam,Municipal Corporation,BJP,NDA,1587,2025,Councillor
C02002_14,C02002,Kollam,14,Vadakkumbhagam,Kuruvila Joseph,Kollam,Municipal Corporation,INC,UDF,1619,2025,Councillor
C02002_15,C02002,Kollam,15,Asramam,Suresh Kumar C,Kollam,Municipal Corporation,BJP,NDA,1550,2025,Councillor
