lsgi_code_ward_number,lsgi_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year,mayor/deputymayor/Councillor
C01001_24,C01001,Thiruvananthapuram,24,Peroorkada,Vineeth V G,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1587,2025,Councillor
C01001_25,C01001,Thiruvananthapuram,25,Kowdiar,Adv. K. S. Sabarinadhan,Thiruvananthapuram,Municipal Corporation,INC,UDF,1235,2025,Councillor
C01001_26,C01001,Thiruvananthapuram,26,Kuravankonam,Maya R S,Thiruvananthapuram,Municipal Corporation,RSP,UDF,1323,2025,Councillor
C01001_27,C01001,Thiruvananthapuram,27,Muttada,Vyshna Suresh,Thiruvananthapuram,Municipal Corporation,INC,UDF,1607,2025,Councillor
C01001_28,C01001,Thiruvananthapuram,28,Chettivilakam,R Dinesh Kumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1029,2025,Councillor
C01001_29,C01001,Thiruvananthapuram,29,Kinavoor,B. Subash,Thiruvananthapuram,Municipal Corporation,INC,UDF,2761,2025,Councillor
C01001_30,C01001,Thiruvananthapuram,30,Nalanchira,Thresiama Teacher,Thiruvananthapuram,Municipal Corporation,INC,UDF,2120,2025,Councillor
C01001_31,C01001,Thiruvananthapuram,31,Edavacode,Swathy S Kumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1889,2025,Councillor
C01001_32,C01001,Thiruvananthapuram,32,Ulloor,Liju. S.,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1198,2025,Councillor
C01001_33,C01001,Thiruvananthapuram,33,Medical College,S. S. Sindhu,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1371,2025,Councillor
C01001_34,C01001,Thiruvananthapuram,34,Pattom,Reshma C,Thiruvananthapuram,Municipal Corporation,INC,UDF,1308,2025,Councillor
C01001_35,C01001,Thiruvananthapuram,35,Kesavadasapuram,Anitha Alex,Thiruvananthapuram,Municipal Corporation,INC,UDF,1365,2025,Councillor
C01001_36,C01001,Thiruvananthapuram,36,Gowreeshapattom,Parvathy,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1853,2025,Councillor
C01001_37,C01001,Thiruvananthapuram,37,Kunnukuzhy,Mary Pushpam. A,Thiruvananthapuram,Municipal Corporation,INC,UDF,2255,2025,Councillor
C01001_38,C01001,Thiruvananthapuram,38,Nanthancode,K. R. Cleetus,Thiruvananthapuram,Municipal Corporation,INC,UDF,1457,2025,Councillor
C01001_39,C01001,Thiruvananthapuram,39,Palayam,Sherly. S,Thiruvananthapuram,Municipal Corporation,INC,UDF,1231,2025,Councillor
C01001_40,C01001,Thiruvananthapuram,40,Vazhuthacaud,Rakhi Ravikumar,Thiruvananthapuram,Municipal Corporation,CPI,LDF,1464,2025,Councillor
C01001_41,C01001,Thiruvananthapuram,41,Sasthamangalam,R. Sreelekha,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1774,2025,Councillor
C01001_42,C01001,Thiruvananthapuram,42,Pangode,Vishnu Mohan. M,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2931,2025,Councillor
C01001_43,C01001,Thiruvananthapuram,43,Thirumala,P. S. Devima,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2551,2025,Councillor
C01001_44,C01001,Thiruvananthapuram,44,Valiyavila,V. G. Girikumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2457,2025,Councillor
C01001_45,C01001,Thiruvananthapuram,45,Thrikkannapuram,Ajin. S. L,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2361,2025,Councillor
C01001_46,C01001,Thiruvananthapuram,46,Punnakkamugal,Sivaji R. P.,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2325,2025,Councillor
C01001_47,C01001,Thiruvananthapuram,47,Poojappura,Rajalakshmi. T.,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2306,2025,Councillor
C01001_48,C01001,Thiruvananthapuram,48,Jagathy,P. T. Madhu,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1622,2025,Councillor
C01001_49,C01001,Thiruvananthapuram,49,Thycaud,G. Venugopal,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1446,2025,Councillor
C01001_50,C01001,Thiruvananthapuram,50,Valiyasala,Soorya. V S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2096,2025,Councillor
C01001_51,C01001,Thiruvananthapuram,51,Arannoor,Renjith. T. K,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2366,2025,Councillor
C01001_52,C01001,Thiruvananthapuram,52,Mudavanmugal,V Gopakumar,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,3930,2025,Councillor
C01001_53,C01001,Thiruvananthapuram,53,Estate,R .Abhilash,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2339,2025,Councillor
C01001_54,C01001,Thiruvananthapuram,54,Nemom,M R Gopakumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2207,2025,Councillor
C01001_55,C01001,Thiruvananthapuram,55,Ponnumangalam,Sreedevi S K,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2187,2025,Councillor
C01001_56,C01001,Thiruvananthapuram,56,Melamcode,Sanilkumar. R,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2444,2025,Councillor
C01001_57,C01001,Thiruvananthapuram,57,Pappanamcode,Harikumar A,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2540,2025,Councillor
C01001_58,C01001,Thiruvananthapuram,58,Karamana,V. Ajithkumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,3458,2025,Councillor
C01001_59,C01001,Thiruvananthapuram,59,Nedumcaud,Beena R C,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2745,2025,Councillor
C01001_60,C01001,Thiruvananthapuram,60,Kaladi,Manju G S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2535,2025,Councillor
C01001_61,C01001,Thiruvananthapuram,61,Karumom,Ashanath G S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2600,2025,Deputy Mayor
C01001_62,C01001,Thiruvananthapuram,62,Punchakkari,Shailajadevi C,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1662,2025,Councillor
C01001_63,C01001,Thiruvananthapuram,63,Poonkulam,Ratheesh Kumar K,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2451,2025,Councillor
C01001_64,C01001,Thiruvananthapuram,64,Venganoor,Lathika Kumari S,Thiruvananthapuram,Municipal Corporation,INC,UDF,1192,2025,Councillor
C01001_65,C01001,Thiruvananthapuram,65,Port Ward,Paniyadima,Thiruvananthapuram,Municipal Corporation,CPI,LDF,4032,2025,Councillor
C01001_66,C01001,Thiruvananthapuram,66,Vizhinjam,Sudheer Khan,Thiruvananthapuram,Municipal Corporation,NA,UDF,2902,2026,Councillor
C01001_67,C01001,Thiruvananthapuram,67,Harbour,Afsa S,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1828,2025,Councillor
C01001_68,C01001,Thiruvananthapuram,68,Vellar,Sathyavathi V,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2062,2025,Councillor
C01001_69,C01001,Thiruvananthapuram,69,Thiruvallam,S. Gopakumar,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1751,2025,Councillor
C01001_70,C01001,Thiruvananthapuram,70,Poonthura,Sruthimol X,Thiruvananthapuram,Municipal Corporation,INC,UDF,4585,2025,Councillor
C01001_71,C01001,Thiruvananthapuram,71,Puthenppalli,Shamna Beevi,Thiruvananthapuram,Municipal Corporation,IUML,UDF,2256,2025,Councillor
C01001_72,C01001,Thiruvananthapuram,72,Ambalathara,Simirani,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1685,2025,Councillor
C01001_73,C01001,Thiruvananthapuram,73,Attukal,Sruthi S S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2489,2025,Councillor
C01001_74,C01001,Thiruvananthapuram,74,Kalippankulam,Rasiya Beegam,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2165,2025,Councillor
C01001_75,C01001,Thiruvananthapuram,75,Kamaleswaram,V Giri,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2248,2025,Councillor
C01001_76,C01001,Thiruvananthapuram,76,Beemapalli,Sajeena Beevi E,Thiruvananthapuram,Municipal Corporation,IUML,UDF,5226,2025,Councillor
C01001_77,C01001,Thiruvananthapuram,77,Valiyathura,Sheeba Patrick,Thiruvananthapuram,Municipal Corporation,INC,UDF,3842,2025,Councillor
C01001_78,C01001,Thiruvananthapuram,78,Vallakkadavu,Shajida Nasar,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,3916,2025,Councillor
C01001_79,C01001,Thiruvananthapuram,79,Sreevaraham,Mini  R,Thiruvananthapuram,Municipal Corporation,BJP,NDA,3239,2025,Councillor
C01001_80,C01001,Thiruvananthapuram,80,Manacaud,Saritha P,Thiruvananthapuram,Municipal Corporation,BJP,NDA,3016,2025,Councillor
C01001_81,C01001,Thiruvananthapuram,81,Chalai,S K P Ramesh,Thiruvananthapuram,Municipal Corporation,BJP,NDA,3094,2025,Councillor
C01001_82,C01001,Thiruvananthapuram,82,Fort,Harikumar S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,3126,2025,Councillor
C01001_83,C01001,Thiruvananthapuram,83,Perunthanni,Deepa S  Nair,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2949,2025,Councillor
C01001_84,C01001,Thiruvananthapuram,84,Sreekanteswaram,Sukanya O,Thiruvananthapuram,Municipal Corporation,BJP,NDA,2262,2025,Councillor
C01001_85,C01001,Thiruvananthapuram,85,Thampanoor,R  Harikumar,Thiruvananthapuram,Municipal Corporation,INC,UDF,1629,2025,Councillor
C01001_86,C01001,Thiruvananthapuram,86,Vanchiyoor,Sankarankutty Nair P,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1410,2025,Councillor
C01001_87,C01001,Thiruvananthapuram,87,Kannammoola,Pattoor Radhakrishnan,Thiruvananthapuram,Municipal Corporation,IND,OTH,1215,2025,Councillor
C01001_88,C01001,Thiruvananthapuram,88,Pettah,Deepak S P,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2388,2025,Councillor
C01001_89,C01001,Thiruvananthapuram,89,Chackai,K Sreekumar,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2838,2025,Councillor
C01001_90,C01001,Thiruvananthapuram,90,Vettukadu,Kinsy Iwin,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,3400,2025,Councillor
C01001_91,C01001,Thiruvananthapuram,91,Karikkakam,Aswathi M S,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,2196,2025,Councillor
C01001_92,C01001,Thiruvananthapuram,92,Kadakampally,Jaya Rajiv,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1936,2025,Councillor
C01001_93,C01001,Thiruvananthapuram,93,Anamugham,Veenakumari R,Thiruvananthapuram,Municipal Corporation,CPI,LDF,1518,2025,Councillor
C01001_94,C01001,Thiruvananthapuram,94,Akkulam,Advocate Mini  P S,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1334,2025,Councillor
C01001_95,C01001,Thiruvananthapuram,95,Cheruvaikkal,Vinod R (Kiran Kunnil),Thiruvananthapuram,Municipal Corporation,BJP,NDA,1356,2025,Councillor
C01001_96,C01001,Thiruvananthapuram,96,Alathara,K P Bindu,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1709,2025,Councillor
C01001_97,C01001,Thiruvananthapuram,97,Kuzhivila,B Rajendran,Thiruvananthapuram,Municipal Corporation,BJP,NDA,1138,2025,Councillor
C01001_98,C01001,Thiruvananthapuram,98,Poundkadavu,Sudheesh Kumar,Thiruvananthapuram,Municipal Corporation,IND,OTH,2250,2025,Councillor
C01001_99,C01001,Thiruvananthapuram,99,Kulathoor,Sruthy I M,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1535,2025,Councillor
C01001_100,C01001,Thiruvananthapuram,100,Attipra,Sunil S S (Chottu),Thiruvananthapuram,Municipal Corporation,BJP,NDA,1736,2025,Councillor
C01001_101,C01001,Thiruvananthapuram,101,Pallithura,Suchitra T,Thiruvananthapuram,Municipal Corporation,CPI(M),LDF,1658,2025,Councillor
C08004_1,C08004,Thrissur,1,Poonkunnam,Raghunath C Menon,Thrissur,Municipal Corporation,BJP,NDA,1210,2025,Councillor
C08004_2,C08004,Thrissur,2,Kuttankulangara,Anjali Rakesh,Thrissur,Municipal Corporation,INC,UDF,1052,2025,Councillor
C08004_3,C08004,Thrissur,3,Patturaikal,A V Krishnamohan,Thrissur,Municipal Corporation,BJP,NDA,1255,2025,Councillor
C08004_4,C08004,Thrissur,4,Viyyur,Arun Thadathil,Thrissur,Municipal Corporation,INC,UDF,1659,2025,Councillor
C08004_5,C08004,Thrissur,5,Peringavu,Sari Kishorekumar,Thrissur,Municipal Corporation,INC,UDF,1475,2025,Councillor
C08004_6,C08004,Thrissur,6,Ramavarmapuram,T R Hiran,Thrissur,Municipal Corporation,CPI(M),LDF,1675,2025,Councillor
C08004_7,C08004,Thrissur,7,Kuttumukku,Shibu Poruthoor,Thrissur,Municipal Corporation,INC,UDF,1464,2025,Councillor
C08004_8,C08004,Thrissur,8,Villadam,Sindhu Thykkadan,Thrissur,Municipal Corporation,CPI,LDF,1524,2025,Councillor
C08004_9,C08004,Thrissur,9,Cheroor,Villi Jijo,Thrissur,Municipal Corporation,INC,UDF,1447,2025,Councillor
C08004_10,C08004,Thrissur,10,Gandhi Nagar,Subi Babu,Thrissur,Municipal Corporation,INC,UDF,1572,2025,Councillor
C08004_11,C08004,Thrissur,11,Mukkattukara,Syamala Muraleedharan,Thrissur,Municipal Corporation,INC,UDF,1516,2025,Councillor
C08004_12,C08004,Thrissur,12,Nettissery,Sintomol Sojan,Thrissur,Municipal Corporation,INC,UDF,1353,2025,Councillor
C08004_13,C08004,Thrissur,13,Mullakkara,Neethu Sumesh,Thrissur,Municipal Corporation,INC,UDF,1611,2025,Councillor
C08004_14,C08004,Thrissur,14,Mannuthy,Anees Ahammad T A,Thrissur,Municipal Corporation,CPI(M),LDF,1129,2025,Councillor
C08004_15,C08004,Thrissur,15,Ollukkara,K Gopalakrishnan,Thrissur,Municipal Corporation,INC,UDF,1243,2025,Councillor
C08004_16,C08004,Thrissur,16,Krishnapuram,Soumya Pratheesh,Thrissur,Municipal Corporation,JD(S),LDF,1774,2025,Councillor
C08004_17,C08004,Thrissur,17,Kuttanellur,Hareesh Mohan,Thrissur,Municipal Corporation,INC,UDF,1744,2025,Councillor
C08004_18,C08004,Thrissur,18,Chelakkottukara,T R Santhosh,Thrissur,Municipal Corporation,INC,UDF,1780,2025,Councillor
C08004_19,C08004,Thrissur,19,Kalathode,M.L Rosy,Thrissur,Municipal Corporation,IND,OTH,1701,2025,Councillor
C08004_20,C08004,Thrissur,20,Paravattany,Jees George,Thrissur,Municipal Corporation,CPI(M),LDF,1174,2025,Councillor
C08004_21,C08004,Thrissur,21,Kizhakkumpattukara,Niji Justin,Thrissur,Municipal Corporation,INC,UDF,1559,2025,Mayor
C08004_22,C08004,Thrissur,22,Chembukavu,Joy Bastin Chakkola,Thrissur,Municipal Corporation,INC,UDF,766,2025,Councillor
C08004_23,C08004,Thrissur,23,Mission Quarters,Baiju Varghese,Thrissur,Municipal Corporation,INC,UDF,1037,2025,Councillor
C08004_24,C08004,Thrissur,24,Kuriachira,Shomi Francis,Thrissur,Municipal Corporation,IND,OTH,1393,2025,Councillor
C08004_25,C08004,Thrissur,25,Valarkavu,Mercy Aji,Thrissur,Municipal Corporation,INC,UDF,1445,2025,Councillor
C08004_26,C08004,Thrissur,26,Anchery,Smitha Aneesh,Thrissur,Municipal Corporation,CPI(M),LDF,1747,2025,Councillor
C08004_27,C08004,Thrissur,27,Padavaradu,Praveenlal,Thrissur,Municipal Corporation,INC,UDF,1305,2025,Councillor
C08004_28,C08004,Thrissur,28,Ollur Centre,Pauly Jose,Thrissur,Municipal Corporation,INC,UDF,1194,2025,Councillor
C08004_29,C08004,Thrissur,29,Edakkunny,Reshmi Unnikrishnan,Thrissur,Municipal Corporation,INC,UDF,1225,2025,Councillor
C08004_30,C08004,Thrissur,30,Thaikattussery,Keerthana Karthikeyan,Thrissur,Municipal Corporation,CPI(M),LDF,1499,2025,Councillor
C08004_31,C08004,Thrissur,31,Ollur,Karoli Joshwa,Thrissur,Municipal Corporation,INC,UDF,1647,2025,Councillor
C08004_32,C08004,Thrissur,32,Chiyyaram,Limna Manoj,Thrissur,Municipal Corporation,IND,OTH,1985,2025,Councillor
C08004_33,C08004,Thrissur,33,Chiyyaram South,Raphy Jose (Kutty Raphy),Thrissur,Municipal Corporation,IND,OTH,1336,2025,Councillor
C08004_34,C08004,Thrissur,34,Kuriyachira West,Jacob Pulikkottil,Thrissur,Municipal Corporation,INC,UDF,1972,2025,Councillor
C08004_35,C08004,Thrissur,35,Kannamkulangara,Mumdas ( Chinju),Thrissur,Municipal Corporation,BJP,NDA,973,2025,Councillor
C08004_36,C08004,Thrissur,36,Thekkinkadu,Poornima Suresh,Thrissur,Municipal Corporation,BJP,NDA,793,2025,Councillor
C08004_37,C08004,Thrissur,37,Thiruvambadi,Adv. M Reshma Menon,Thrissur,Municipal Corporation,BJP,NDA,557,2025,Councillor
C08004_38,C08004,Thrissur,38,Kottappuram,Vinod Krishna (Kannan),Thrissur,Municipal Corporation,INC,NDA,745,2025,Councillor
C08004_39,C08004,Thrissur,39,Poothole,P. Sukumaran,Thrissur,Municipal Corporation,CPI(M),LDF,1030,2025,Councillor
C08004_40,C08004,Thrissur,40,Kokkalai,Vinshy Arunkumar,Thrissur,Municipal Corporation,BJP,NDA,947,2025,Councillor
C08004_41,C08004,Thrissur,41,Vadookara,Sijith M S,Thrissur,Municipal Corporation,CPI(M),LDF,2284,2025,Councillor
C08004_42,C08004,Thrissur,42,Koorkanchery,Ambily C. M.,Thrissur,Municipal Corporation,INC,UDF,1378,2025,Councillor
C08004_43,C08004,Thrissur,43,Kanimangalam,Padmini Shaji,Thrissur,Municipal Corporation,BJP,NDA,1064,2025,Councillor
C08004_44,C08004,Thrissur,44,Panamukku,Sheena Chandran,Thrissur,Municipal Corporation,INC,UDF,1792,2025,Councillor
C08004_45,C08004,Thrissur,45,Nedupuzha,Princy Rojan,Thrissur,Municipal Corporation,INC,UDF,1685,2025,Councillor
C08004_46,C08004,Thrissur,46,Kariattukara,K. Sumesh,Thrissur,Municipal Corporation,INC,UDF,1648,2025,Councillor
C08004_47,C08004,Thrissur,47,Laloor,Lali James,Thrissur,Municipal Corporation,INC,UDF,2483,2025,Councillor
C08004_48,C08004,Thrissur,48,Aranattukara,Vibhitha Vasu,Thrissur,Municipal Corporation,INC,UDF,1685,2025,Councillor
C08004_49,C08004,Thrissur,49,Kanattukara,Sunitha,Thrissur,Municipal Corporation,CPI(M),LDF,1297,2025,Councillor
C08004_50,C08004,Thrissur,50,Ayyanthole,Valsala Baburaj,Thrissur,Municipal Corporation,INC,UDF,951,2025,Councillor
C08004_51,C08004,Thrissur,51,Civil Station,A. Prasad,Thrissur,Municipal Corporation,INC,UDF,1130,2025,Deputy Mayor
C08004_52,C08004,Thrissur,52,Olari,Sajan C. George,Thrissur,Municipal Corporation,INC,UDF,1434,2025,Councillor
C08004_53,C08004,Thrissur,53,Elthuruth,Shaju,Thrissur,Municipal Corporation,CPI,LDF,1525,2025,Councillor
C08004_54,C08004,Thrissur,54,Chettupuzha,Baburaj E. S.,Thrissur,Municipal Corporation,INC,UDF,1329,2025,Councillor
C08004_55,C08004,Thrissur,55,Pullazhi,Sunitha Vinu,Thrissur,Municipal Corporation,INC,UDF,1705,2025,Councillor
C08004_56,C08004,Thrissur,56,Puthoorkara,Mefi Delson,Thrissur,Municipal Corporation,INC,UDF,2060,2025,Councillor